ISBN,title,author,pages_number,publisher,credits,contents,cover,average_grade
3945978387240,Modern Control Engineering,Stephanie Dixon,380,Lambert-Stewart,19.64,toc-16.pdf,cover-2.jpg,
2772085217629,Fundamentals of Electric Circuits,Victoria Smith,435,"Rice, Cameron and Carlson",17.11,toc-6.pdf,cover-10.jpg,
5689335323617,Computer Networking: A Top-Down Approach,Kayla Turner,500,Dean-Vasquez,5.84,toc-1.pdf,cover-27.jpg,
9861685823163,Introduction to Algorithms,Rebecca Hall,909,"Juarez, Carter and Washington",28.1,toc-1.pdf,cover-12.jpg,
2073669739327,Artificial Intelligence: A Modern Approach,Megan Webb,924,Hall-Cook,20.37,toc-24.pdf,cover-23.jpg,
3624290094194,Embedded Systems: Introduction to Arm Cortex-M Microcontrollers,Maria Miller,607,Garrison and Sons,16.3,toc-23.pdf,cover-7.jpg,
5181776557302,The Art of Electronics,Anthony Munoz,631,Neal-Bailey,28.41,toc-13.pdf,cover-9.jpg,
4759089020565,Computer Organization and Design: The Hardware/Software Interface,Jessica Brown,856,"Becker, Welch and Harrell",25.94,toc-13.pdf,cover-6.jpg,
9644541326787,Power System Analysis and Design,Shannon Stewart,626,Jones-Yoder,27.61,toc-10.pdf,cover-1.jpg,
9287225019693,RF Microelectronics,Deborah Griffin,871,"Carpenter, Smith and Lyons",26.28,toc-28.pdf,cover-4.jpg,
1146493462443,Data Communications and Networking,Jason Cole,318,"Walker, May and Ellis",15.32,toc-18.pdf,cover-18.jpg,
3672235925931,Principles of Wireless Networks: A Unified Approach,Jessica Lawrence,636,Davis PLC,14.1,toc-21.pdf,cover-23.jpg,
8951358981611,Control Systems Engineering,Robert Clark,893,"Waters, Carpenter and Smith",20.87,toc-27.pdf,cover-24.jpg,
7380902940365,Digital Image Processing,Andrew Nichols,448,Miller-Mack,26.06,toc-17.pdf,cover-30.jpg,
7160378954838,Computer Vision: Algorithms and Applications,Emily Collins,711,"Montes, Price and Mills",27.24,toc-2.pdf,cover-24.jpg,
9103437781137,"Electric Machines and Drives: Principles, Control, and Applications",Wanda Spencer,550,Moyer-Wilson,25.08,toc-14.pdf,cover-6.jpg,
1263764779563,Principles of Electric Machines and Power Electronics,Kristin Maldonado,927,Taylor-Holland,8.79,toc-22.pdf,cover-15.jpg,
4270504540980,Introduction to Power Electronics,Traci Patton,807,"Thompson, Bennett and Lester",5.76,toc-12.pdf,cover-5.jpg,
9325300446625,Semiconductor Device Fundamentals,Lauren Gutierrez,182,Rosales-Brock,29.55,toc-4.pdf,cover-5.jpg,
9068029477340,Neural Networks and Learning Machines,Anthony Roy,161,Simpson Inc,23.91,toc-9.pdf,cover-16.jpg,
5519898742233,Signals and Systems,Alan King,980,Kennedy PLC,15.34,toc-8.pdf,cover-16.jpg,
9574773003545,Analog Integrated Circuit Design,Donna Armstrong,563,Church Ltd,18.83,toc-1.pdf,cover-4.jpg,
6045862215712,Communication Systems,Jodi White,944,Miller Ltd,21.19,toc-22.pdf,cover-10.jpg,
8599920888868,Antennas and Wave Propagation,Clifford Key,178,Price-Gonzalez,13.88,toc-4.pdf,cover-11.jpg,
7571023458749,"Networks, Lines, and Fields",Natalie Carroll,448,Dean Group,17.08,toc-3.pdf,cover-20.jpg,
9208762208097,Electromagnetic Waves and Radiating Systems,Mr. Aaron Hammond,147,Wood Inc,21.71,toc-11.pdf,cover-13.jpg,
4462749615967,Digital Design and Computer Architecture,Andrew Perez Jr.,963,Bullock-Gentry,28.71,toc-30.pdf,cover-25.jpg,
9347742654044,Electrical Engineering: Principles and Applications,Brett Thornton,696,Huerta PLC,17.72,toc-23.pdf,cover-14.jpg,
9227321197716,"Digital Signal Processing: Principles, Algorithms, and Applications",Kimberly Wyatt,504,Reynolds PLC,14.31,toc-20.pdf,cover-19.jpg,
7586941325891,Microelectronic Circuits,Christopher Ramirez,729,Wolfe-Sanchez,11.27,toc-25.pdf,cover-15.jpg,
5726493974436,Modern Control Engineering,Robert Beltran,200,Mercer-Lozano,20.69,toc-7.pdf,cover-12.jpg,
7924891845484,Fundamentals of Electric Circuits,Laurie Evans,134,"Johnson, Wall and Johnson",16.23,toc-2.pdf,cover-28.jpg,
5829605023356,Computer Networking: A Top-Down Approach,Christina Ford,956,Alexander Ltd,15.05,toc-5.pdf,cover-16.jpg,
6265597172075,Introduction to Algorithms,Danny Galvan,670,"Atkinson, Cox and Bishop",22.66,toc-14.pdf,cover-12.jpg,
1267321321724,Artificial Intelligence: A Modern Approach,Karen Cooley,978,Wise Group,14.72,toc-16.pdf,cover-14.jpg,
3679180888518,Embedded Systems: Introduction to Arm Cortex-M Microcontrollers,Tiffany Davis,481,Dennis-Clarke,17.27,toc-16.pdf,cover-17.jpg,
6396744538269,The Art of Electronics,Dr. Jessica Robinson,766,"Calderon, Willis and Ramirez",24.62,toc-15.pdf,cover-6.jpg,
2452708800442,Computer Organization and Design: The Hardware/Software Interface,Keith Perry,401,"Lewis, Jones and Davis",5.08,toc-2.pdf,cover-10.jpg,
8151627486337,Power System Analysis and Design,Ryan Miller,765,"Graham, Tapia and Johnson",20.33,toc-27.pdf,cover-13.jpg,
9955194467444,RF Microelectronics,Richard Hill,183,Davis PLC,7.12,toc-19.pdf,cover-28.jpg,
1552759676667,Data Communications and Networking,Thomas Mann,341,"Miller, Young and Wong",8.56,toc-27.pdf,cover-28.jpg,
2938809479053,Principles of Wireless Networks: A Unified Approach,Yesenia Johnston,192,Hess-Hobbs,9.48,toc-28.pdf,cover-8.jpg,
1646340992635,Control Systems Engineering,Vernon Braun,532,Allen-Schroeder,19.66,toc-20.pdf,cover-15.jpg,
8211368752092,Digital Image Processing,David Robinson,791,"Hunter, Garrett and Shields",16.17,toc-21.pdf,cover-13.jpg,
8954801479964,Computer Vision: Algorithms and Applications,Dylan Marsh,478,"Schmidt, Thomas and Drake",24.33,toc-19.pdf,cover-4.jpg,
3366673127326,"Electric Machines and Drives: Principles, Control, and Applications",Lindsay Sims,430,Harris-Webster,14.62,toc-14.pdf,cover-3.jpg,
6039110744080,Principles of Electric Machines and Power Electronics,Kristin Edwards,848,"Smith, Garcia and Williams",5.38,toc-13.pdf,cover-19.jpg,
3299611027997,Introduction to Power Electronics,Ashlee Dillon,522,"Martinez, Clayton and Anthony",3.07,toc-20.pdf,cover-9.jpg,
5576956769988,Semiconductor Device Fundamentals,Michele Green,523,Martinez-Mercado,8.94,toc-18.pdf,cover-18.jpg,
4206126404102,Neural Networks and Learning Machines,Larry Oneal,523,Cole-Pham,25.48,toc-22.pdf,cover-9.jpg,
2742434258051,Signals and Systems,Samantha Wilson,194,Stone LLC,10.09,toc-9.pdf,cover-25.jpg,
1814883156612,Analog Integrated Circuit Design,Sarah Mathews,548,"Carney, Wang and Davidson",5.03,toc-17.pdf,cover-23.jpg,
7251558554471,Communication Systems,Lisa Jones,150,"Lopez, Reynolds and Johnson",21.41,toc-21.pdf,cover-11.jpg,
4553086010715,Antennas and Wave Propagation,Gabriel Smith,261,Brown-Miller,13.42,toc-25.pdf,cover-26.jpg,
3288765031463,"Networks, Lines, and Fields",Ariel Scott,925,Jacobs Inc,9.74,toc-1.pdf,cover-7.jpg,
6616246714620,Electromagnetic Waves and Radiating Systems,Jeffrey Jackson,169,"Hartman, Becker and Gillespie",8.79,toc-12.pdf,cover-22.jpg,
9745898776578,Digital Design and Computer Architecture,Alicia Brown,613,"Rogers, Howard and Foster",22.45,toc-1.pdf,cover-21.jpg,
4905801034488,Electrical Engineering: Principles and Applications,Richard Bailey,367,Cole and Sons,10.72,toc-21.pdf,cover-10.jpg,
6544965491413,"Digital Signal Processing: Principles, Algorithms, and Applications",Marcus Johnson,500,Wilson-Kelly,3.18,toc-19.pdf,cover-17.jpg,
2254834241328,Microelectronic Circuits,Daniel Smith,454,"Oneal, Barber and Flores",26.89,toc-24.pdf,cover-7.jpg,
1194148765264,Modern Control Engineering,Christopher Mayo,839,"Collins, Cannon and Rush",23.3,toc-11.pdf,cover-17.jpg,
8242053161811,Fundamentals of Electric Circuits,Willie Nelson,242,Shah-Morris,25.92,toc-21.pdf,cover-23.jpg,
1711251113161,Computer Networking: A Top-Down Approach,Robert Myers,981,Moran Group,24.04,toc-4.pdf,cover-24.jpg,
8789221167515,Introduction to Algorithms,Lori Williams,478,Smith PLC,28.99,toc-7.pdf,cover-14.jpg,
1791742874413,Artificial Intelligence: A Modern Approach,Anthony Hall,849,Hart-Phillips,11.83,toc-19.pdf,cover-13.jpg,
7736974808609,Embedded Systems: Introduction to Arm Cortex-M Microcontrollers,Emma Adams,852,"Sampson, Lawson and Stone",10.03,toc-29.pdf,cover-19.jpg,
2951572317258,The Art of Electronics,Cheryl Lee,777,"Blake, Casey and Perry",5.84,toc-7.pdf,cover-3.jpg,
8608375194204,Computer Organization and Design: The Hardware/Software Interface,Samantha Payne,709,"Francis, Johnson and Peterson",10.83,toc-25.pdf,cover-19.jpg,
9260975183960,Power System Analysis and Design,Carol Taylor,211,Hanson-Rodriguez,12.9,toc-25.pdf,cover-13.jpg,
5259472791480,RF Microelectronics,Rachel Cox,983,Graham-Miller,4.1,toc-1.pdf,cover-4.jpg,
3347197447211,Data Communications and Networking,Jill Robertson,789,Williamson-Hughes,14.59,toc-26.pdf,cover-12.jpg,
9133371800835,Principles of Wireless Networks: A Unified Approach,Elizabeth Green,726,"Krueger, Reed and Mercado",15.65,toc-10.pdf,cover-17.jpg,
7686307082717,Control Systems Engineering,Erica Knight,884,Atkins-Ortiz,8.93,toc-24.pdf,cover-10.jpg,
4474312889737,Digital Image Processing,Jennifer Moss,925,Jarvis Group,6.98,toc-7.pdf,cover-7.jpg,
4222311621008,Computer Vision: Algorithms and Applications,Ashley Hebert,278,Calderon-Buck,22.87,toc-25.pdf,cover-1.jpg,
5203030765756,"Electric Machines and Drives: Principles, Control, and Applications",Craig Hall,783,Miller-Briggs,14.84,toc-28.pdf,cover-2.jpg,
2358228626779,Principles of Electric Machines and Power Electronics,Daniel Gutierrez,953,Wilson Inc,18.72,toc-23.pdf,cover-27.jpg,
5201977380487,Introduction to Power Electronics,Beverly Mann,195,Scott-Sheppard,24.57,toc-19.pdf,cover-12.jpg,
6038078771759,Semiconductor Device Fundamentals,Haley Hines,293,Harris-Dillon,8.2,toc-14.pdf,cover-2.jpg,
3818427793373,Neural Networks and Learning Machines,Nicholas Boyle,853,"Brooks, Williams and Campbell",3.42,toc-2.pdf,cover-19.jpg,
6786623887659,Signals and Systems,Paul Harrison,535,"Fletcher, Salinas and Fuller",29.08,toc-11.pdf,cover-22.jpg,
8214892587625,Analog Integrated Circuit Design,Robert Lopez,830,Warren-Rogers,17.63,toc-13.pdf,cover-4.jpg,
9476379468350,Communication Systems,Ashley Lopez,842,"King, Rodriguez and Young",19.21,toc-12.pdf,cover-6.jpg,
7646776453604,Antennas and Wave Propagation,Angela Le,176,Mcdonald LLC,18.33,toc-14.pdf,cover-22.jpg,
8488615465267,"Networks, Lines, and Fields",Mr. James Murphy,911,"Haynes, Vasquez and Coleman",23.67,toc-13.pdf,cover-4.jpg,
1754582073930,Electromagnetic Waves and Radiating Systems,Dennis Hopkins,974,Anderson-Garcia,21.06,toc-13.pdf,cover-19.jpg,
